"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
7692,0,"Honda","Urban","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7697,1,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
7702,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
7707,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7712,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7717,0,"Honda","Urban","Female","Single","51 to 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7722,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7727,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
7730,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7732,0,"Toyota","Rural","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7737,0,"Mazda","Urban","Female","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7742,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7747,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7752,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7757,0,"Honda","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7762,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7767,0,"Chevrolet","Rural","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
7772,0,"Pontiac","Rural","Female","Married","51 to 65","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
7777,0,"Pontiac","Rural","Male","Married","51 to 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7782,0,"VW","Urban","Male","Married","31 to 35","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
7787,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
7788,1,"Pontiac","Rural","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7792,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","Yes","No","4 to 8 years","2 vehicles"
7797,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
7799,1,"Ford","Urban","Male","Married","51 to 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
7802,0,"Honda","Urban","Female","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7807,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7812,0,"Pontiac","Urban","Male","Married","over 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7817,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
7822,1,"Chevrolet","Rural","Male","Single","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
7827,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","1 year","1 vehicle"
7829,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7832,0,"Dodge","Rural","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
7837,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7842,0,"Chevrolet","Urban","Male","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7847,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7852,0,"Chevrolet","Urban","Male","Single","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
7857,0,"Mazda","Urban","Female","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
7862,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7867,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7871,1,"Honda","Urban","Male","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7872,1,"Toyota","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7873,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","3 to 4"
7877,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7882,0,"Honda","Urban","Female","Married","41 to 50","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
7887,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7892,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7897,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
7902,0,"Chevrolet","Urban","Male","Married","over 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7907,0,"Toyota","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7912,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7917,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
7922,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
7927,0,"Chevrolet","Rural","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","Yes","no change","1 vehicle"
7932,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7937,0,"Toyota","Urban","Male","Married","over 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7942,0,"Pontiac","Urban","Male","Married","over 65","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
7947,0,"Toyota","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7952,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","Yes","no change","1 vehicle"
7957,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
7962,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7967,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7972,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
7977,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
7982,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7987,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7992,0,"Chevrolet","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
7997,0,"Pontiac","Urban","Male","Single","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
7998,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8002,0,"Mazda","Rural","Male","Married","36 to 40","Third Party","Sport","more than 69,000","No","No","4 to 8 years","2 vehicles"
8007,0,"Accura","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
8008,1,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","Yes","No","no change","1 vehicle"
8012,0,"Ford","Urban","Male","Married","36 to 40","Third Party","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
8017,0,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
8022,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8027,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8032,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8037,0,"Mazda","Rural","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
8042,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8047,0,"Honda","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8052,0,"Toyota","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8057,0,"Pontiac","Urban","Male","Married","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8059,1,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","2 to 3 years","1 vehicle"
8062,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8067,0,"Accura","Urban","Female","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8072,0,"Dodge","Urban","Male","Single","16 to 17","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8077,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8082,0,"Pontiac","Urban","Female","Married","51 to 65","Policy Holder","Sedan","less than 20,000","Yes","No","no change","1 vehicle"
8087,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8092,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8097,0,"Chevrolet","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8098,1,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8099,1,"Toyota","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8102,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8105,1,"Saturn","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8107,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
8112,0,"Saab","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8113,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8117,0,"Accura","Urban","Female","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8122,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
8127,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8132,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8137,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
8142,0,"Toyota","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8147,0,"Chevrolet","Urban","Male","Divorced","41 to 50","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
8152,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8157,0,"Honda","Urban","Male","Married","51 to 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8162,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8167,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8172,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8177,0,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8182,0,"Honda","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8187,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Utility","40,000 to 59,000","No","No","no change","1 vehicle"
8192,0,"Mazda","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8197,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
8202,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8207,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8212,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
8217,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","Yes","No","no change","1 vehicle"
8222,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8227,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8232,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8237,0,"Ford","Urban","Male","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
8242,0,"Ford","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","3 to 4"
8247,0,"Mazda","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8251,1,"Chevrolet","Urban","Male","Single","36 to 40","Policy Holder","Sedan","60,000 to 69,000","No","No","no change","1 vehicle"
8252,0,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8253,1,"Ford","Rural","Male","Single","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
8257,0,"Toyota","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8262,0,"Ford","Urban","Male","Married","31 to 35","Third Party","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
8267,0,"Ford","Rural","Male","Married","41 to 50","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
8272,0,"Chevrolet","Rural","Male","Single","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
8277,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8282,0,"Ford","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","1 year","1 vehicle"
8287,0,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Sedan","more than 69,000","Yes","No","no change","1 vehicle"
8290,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8292,0,"Mazda","Urban","Female","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8297,0,"Mazda","Urban","Female","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8302,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8307,0,"Pontiac","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8311,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8312,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8314,1,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
8317,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
8322,0,"Pontiac","Urban","Female","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8327,0,"Honda","Urban","Male","Single","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8332,0,"Toyota","Rural","Male","Married","31 to 35","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
8335,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
8337,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8342,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8347,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
8352,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8353,1,"Honda","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8357,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
8362,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8363,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8365,1,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","3 to 4"
8367,1,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
8372,0,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8377,0,"Toyota","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8378,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8382,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8387,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8392,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8397,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
8402,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8407,0,"Toyota","Urban","Male","Single","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8412,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
8417,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8422,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
8427,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8432,0,"Honda","Urban","Female","Widow","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8437,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8442,0,"Pontiac","Urban","Female","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8447,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
8452,0,"Chevrolet","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8454,1,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8457,0,"Toyota","Urban","Male","Married","over 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8459,1,"Pontiac","Urban","Male","Single","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8462,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8466,1,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8467,0,"Ford","Urban","Male","Married","51 to 65","Policy Holder","Sedan","40,000 to 59,000","No","No","2 to 3 years","1 vehicle"
8472,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8477,0,"Honda","Urban","Female","Married","36 to 40","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
8482,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8487,1,"Honda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8492,0,"Pontiac","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8496,1,"Pontiac","Rural","Male","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8497,0,"Honda","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8502,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8507,0,"Mazda","Urban","Female","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8512,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
8517,0,"Honda","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8521,1,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","Yes","No","no change","1 vehicle"
8522,1,"Mazda","Urban","Female","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","Yes","No","no change","1 vehicle"
8527,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","4 to 8 years","2 vehicles"
8532,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
8537,0,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8542,0,"Mazda","Urban","Female","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8547,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8552,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8557,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8562,0,"Pontiac","Urban","Female","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8567,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8568,1,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8572,0,"Pontiac","Urban","Male","Married","51 to 65","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
8573,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8577,0,"VW","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8582,0,"Chevrolet","Urban","Male","Married","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
8587,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
8592,1,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8597,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8602,0,"Ford","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
8604,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8605,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
8607,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
8612,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
8614,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
8617,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
